"Countries, territories and areas",Year,HALE
Australia,2019,70.9
Australia,2015,70.6
Australia,2010,70.2
Australia,2000,68.6
Fiji,2019,59.6
Fiji,2015,59.6
Fiji,2010,59.5
Fiji,2000,58.1
Kiribati,2019,52.6
Kiribati,2015,51.6
Kiribati,2010,51.5
Kiribati,2000,49.6
Micronesia (Federated States of),2019,56.0
Micronesia (Federated States of),2015,55.8
Micronesia (Federated States of),2010,55.8
Micronesia (Federated States of),2000,54.5
New Zealand,2019,70.2
New Zealand,2015,69.9
New Zealand,2010,69.8
New Zealand,2000,67.8
Samoa,2019,62.1
Samoa,2015,61.9
Samoa,2010,61.5
Samoa,2000,60.7
Tonga,2019,64.0
Tonga,2015,63.9
Tonga,2010,63.9
Tonga,2000,62.9
Vanuatu,2019,57.8
Vanuatu,2015,57.4
Vanuatu,2010,57.3
Vanuatu,2000,56.8
